Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
    Hospitals,"64,509,024","2,043,064","55,371","61,538","809,121","11,010,832","574,482","1,438,938","55,963","881,388","864,088","640,331","52,078","1,226,738","165,690","1,083,134","1,075,513","1,180,426","2,286,599","55,546","509,503","486,992","2,478,235","237,638","1,065,703","1,471,659","47,333","258,220","232,222","53,102","2,258,908","918,976","5,761,923","1,529,760","64,361","2,572,584","231,730","1,477,147","3,865,380","57,913","1,435,197","63,984","472,403","4,047,211","930,644","20,152","3,219,295","1,892,729","121,617","1,160,327","5,336"
    Health,"58,245,015","608,732","300,110","1,934,704","254,002","7,289,427","1,201,514","901,328","396,381","3,686,342","1,063,229","545,908","181,764","2,323,789","582,108","265,724","233,815","729,353","639,275","473,951","1,888,732","1,054,843","1,117,685","642,730","423,719","1,375,621","166,217","442,495","227,264","89,808","1,340,661","535,037","8,895,513","1,705,764","126,901","2,309,442","788,653","459,211","1,225,737","190,318","1,023,050","134,121","1,129,326","2,753,187","395,171","156,962","956,154","1,733,220","291,129","764,473","290,415"
    Highways,"111,169,808","1,514,572","1,447,216","2,117,105","932,154","13,326,933","1,380,546","1,084,512","521,987","5,565,691","2,175,074","468,922","813,816","5,956,960","2,656,946","1,796,979","1,176,849","1,972,134","2,064,808","585,393","2,193,278","1,948,609","2,643,742","2,464,623","1,407,717","2,326,314","734,164","663,162","707,462","560,500","2,905,213","882,437","4,644,815","3,045,230","594,876","3,258,502","1,920,884","1,759,045","7,493,880","293,947","1,249,688","531,186","1,595,076","5,830,910","1,595,689","387,389","2,779,737","3,147,410","1,157,005","2,317,321","571,400"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Police protection,"13,828,055","188,062","98,362","239,436","81,323","1,623,171","131,730","208,817","105,368","441,041","303,865","34,211","52,218","439,341","244,963","88,139","108,573","190,640","356,710","78,290","465,444","624,631","305,370","369,120","101,959","210,649","47,282","89,027","93,531","59,539","465,469","149,580","1,034,695","520,263","27,013","285,131","175,579","170,477","878,283","77,150","173,906","33,527","209,416","818,673","131,464","74,486","645,815","315,411","72,880","135,435","52,590"
    Correction,"48,549,551","551,544","270,536","1,061,067","369,684","7,956,461","985,100","682,065","261,950","2,504,397","1,432,460","206,695","223,624","1,301,450","669,218","289,856","341,998","511,528","774,510","145,588","1,392,836","1,203,611","1,684,525","508,658","366,733","719,591","184,888","237,884","298,822","114,567","1,563,653","413,725","3,266,368","1,436,294","72,657","1,605,846","587,482","754,369","1,874,225","174,958","460,351","110,189","758,842","3,691,934","302,043","125,326","1,496,231","1,063,830","270,717","1,131,141","137,524"
    Natural resources,"21,514,767","328,307","420,565","273,975","273,849","4,146,716","329,406","151,634","80,377","1,264,096","463,137","104,865","190,429","276,785","309,419","302,230","210,172","344,184","757,490","167,101","489,701","398,124","302,828","560,261","245,289","367,173","235,500","257,134","117,580","59,138","652,579","218,155","497,352","556,843","243,232","381,711","247,539","415,965","692,230","41,543","224,572","156,994","264,510","888,625","166,172","69,882","237,522","789,477","236,900","681,853","423,646"
    Parks and recreation,"5,719,946","43,674","21,411","83,401","63,809","433,010","101,514","28,981","43,363","143,657","185,008","91,156","41,966","262,834","75,641","31,684","31,774","103,871","301,299","15,717","160,134","198,702","95,844","219,240","73,915","38,396","17,904","36,681","19,668","27,650","414,367","69,505","573,493","256,290","20,345","114,155","93,459","80,459","251,319","5,417","102,809","40,474","94,876","193,603","43,554","13,037","109,061","130,757","62,639","35,691","22,732"
    Governmental administration,"53,975,901","589,904","614,006","691,953","566,835","8,330,503","849,787","1,101,512","445,895","2,707,530","736,599","412,863","316,483","1,331,644","528,535","539,656","525,924","841,851","1,009,439","301,987","1,266,812","1,654,559","841,715","879,679","386,014","549,774","423,980","217,554","273,620","270,109","1,892,575","641,333","5,732,952","1,137,202","147,879","1,878,147","607,397","841,036","3,245,814","323,819","910,479","234,157","784,005","2,009,139","804,190","130,560","1,298,006","728,478","400,680","710,821","310,510"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Interest on general debt,"45,259,591","372,648","297,771","595,853","148,633","6,338,987","817,309","1,460,172","288,297","1,377,262","698,998","308,715","173,576","3,117,469","999,723","250,384","341,160","598,107","1,057,848","255,152","1,032,742","3,417,904","1,191,657","512,102","235,282","819,964","170,356","96,533","199,872","403,400","2,079,966","339,592","4,050,715","602,425","114,460","1,483,639","435,174","445,471","1,736,913","429,472","471,176","126,229","242,670","1,170,209","255,337","154,143","1,070,371","1,166,932","267,268","976,323","63,230"
    Other and unallocable,"137,344,234","1,187,958","2,105,700","2,904,797","1,025,341","15,883,337","1,276,501","1,890,809","628,855","6,189,807","1,916,403","1,714,375","527,241","6,841,797","2,058,775","1,049,571","870,044","1,203,679","4,815,778","845,535","2,253,094","5,796,647","3,589,267","2,835,610","2,430,392","1,648,997","847,300","862,943","1,332,734","800,468","5,263,955","1,825,637","14,812,084","2,161,703","682,980","4,989,842","1,096,863","1,391,061","4,131,341","661,862","2,899,456","276,668","1,762,969","5,247,061","753,742","334,963","3,591,343","2,136,646","912,118","4,346,487","731,698"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Utility expenditure,"23,864,159", -   ,"107,564","31,905", -   ,"3,849,518","27,576","526,315","125,273","97,929","43,991","3,163", -   , -   , -   , -   , -   ,"50,771","5,613","3,874","851,095","259,575",186,"19,723", -   , -   ,"15,012", -   ,"85,861","5,908","2,745,235", -   ,"12,175,049","54,709", -   , -   ,"546,208","27,713", -   ,"159,045","1,940,033", -   , -   , -   , -   ,"30,001", -   ,"64,916","3,521","6,877", -   
  Liquor stores expenditure,"5,243,683","241,716", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"91,082", -   , -   ,"146,710", -   , -   , -   ,1, -   , -   ,"634,925", -   ,"207,452", -   ,"61,471", -   , -   ,"431,589", -   , -   , -   , -   , -   ,"470,014", -   ,"215,693","1,449,914", -   , -   , -   , -   , -   ,"174,376","44,700","454,778","481,597","66,604", -   ,"71,061"
  Insurance trust expenditure,"320,720,833","3,441,537","1,168,945","5,001,254","2,207,414","42,896,074","5,815,759","5,358,550","784,349","13,048,685","7,727,831","1,540,198","1,303,689","16,021,624","4,971,325","2,655,772","2,408,383","4,854,204","4,048,943","1,090,919","4,559,865","9,752,212","11,762,459","6,182,372","2,315,197","4,976,914","971,106","745,591","3,370,551","917,546","15,924,753","2,092,035","24,605,747","9,121,329","445,633","18,407,307","2,860,646","6,174,923","16,404,349","1,699,252","4,177,124","440,917","3,348,867","17,499,062","1,909,984","499,206","4,848,401","9,222,082","1,505,492","6,905,196","729,260"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
