States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue, Liquor stores revenue,Insurance trust revenue ,Total expenditure,  Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,    Intergovernmental expenditure, Direct expenditure,Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration, Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
MICHIGAN,2008,42802955,49316492,13363940,24781626,8225599,3694773,1354001,7181055,1778317,2547881,6289589,4881337, -   ,768085,-7281622,56653904,19519271,37134633,26255979,1955213,6418910,1194768,1309763,5974110,56653904,49612891,19519271,30093620,21974570,13332357,2299233,1204513,2742463,346258,1846681,363826,88249,973142,1309763,3131836,67,622036,6418910,30048498,86900927
MINNESOTA,2008,29707313,29682086,7255639,18320891,4550838,2882225,1011289,7777259,1040479,1058801,2246245,1859311, -   , -   ,25227,34283510,11188797,23094713,16133279,1782231,3868653,813873,496677,4924638,34283510,30349669,11188797,19160872,12424773,9045789,404712,653688,2231342,343342,536760,511888,192704,857460,496677,2650534,65188, -   ,3868653,9538669,61290809
MISSISSIPPI,2008,16253029,16504961,7718794,6745743,3135390,1094053,418771,1551079,384643,161807,1390834,649590, -   ,248828,-500760,18642936,5111703,13531233,9965918,1497202,1664516,164929,238668,2252581,18642936,16776841,5111703,11665138,5471275,4405435,953339,368652,1284377,117202,369248,285285,39960,327420,238668,2915980, -   ,201579,1664516,6331031,32295824
MISSOURI,2008,25285284,24253709,8574430,10919336,3228274,1542357,604928,5118849,384010,40918,2429759,2330184, -   , -   ,1031575,26865659,5743498,21122161,14626384,1776134,3167446,505075,1047122,3661593,26865659,23698213,5743498,17954715,8675805,6231774,1322145,1163167,2034235,214579,754740,347965,37236,541561,1047122,1327884, -   , -   ,3167446,19740684,69352772
MONTANA,2008,6402859,5490621,1919126,2457929, -   ,544402,311029,870064,161713,570721,525124,588442, -   ,69256,842982,6137669,1318649,4819020,3206493,653471,655008,94740,209308,879718,6137669,5423506,1318649,4104857,1839799,1065604,44955,152645,606818,47166,168127,279698,14950,362540,209308,631896,25,59130,655008,4660223,16176597
NEBRASKA,2008,8384577,8357739,2560819,4228800,1534134,501307,206783,1726145,232852,27579,899022,669098, -   , -   ,26838,8460595,1981940,6478655,5001430,766791,436200,166235,107999,2076389,8460595,8024395,1981940,6042455,2909668,2099052,239294,415172,631028,84698,219278,180968,28868,204921,107999,903449, -   , -   ,436200,2719139,13974630
NEVADA,2008,10471591,9431327,1857810,6148455,3077433,1864646,541796, -   , -   ,664580,685108,739954,68451, -   ,971813,10845375,3860236,6985139,4354990,794520,1455497,173184,206948,1579819,10845375,9319965,3860236,5459729,4069362,1580454,234044,261957,609250,105594,367241,137372,46373,300560,203422,1404336,69913, -   ,1455497,4248696,26673275
NEW HAMPSHIRE,2008,6319486,5707224,1830369,2251179, -   ,792947,215878,117936,614794,509624,810572,815104,119,463342,148801,6601654,1451976,5149678,3703831,412757,522637,129326,381127,947324,6601654,5672446,1451976,4220470,2019883,1544997,60361,158845,440079,52148,112265,68642,16713,237721,381127,579665,10955,395616,522637,7908632,12083395
NEW JERSEY,2008,55065611,51395700,11217573,30616510,8915515,3604086,1452361,12605545,2819906,1219097,5231009,4330608,865175, -   ,2804736,58536128,10927571,47608557,31145159,4477546,8975630,952405,2057817,9891720,58536128,46810441,10927571,35882870,15432044,12420936,2062211,1327893,2736419,510798,1496976,613651,502611,1861067,2053045,5792790,2750057, -   ,8975630,52785000,117118748
NEW MEXICO,2008,12458381,13279063,4322241,5211507,1922922,739335,254544,1198400,403500,692806,1174047,2571268,13, -   ,-820695,16101771,4363063,11738708,8629097,1146567,1359808,210464,392772,2256305,16101771,14741963,4363063,10378900,5339371,3558863,749990,490852,895994,140759,376627,221810,91671,528382,392772,1954872, -   , -   ,1359808,7763822,46779111
NEW YORK,2008,145475808,131165768,44905377,65244750,11294737,8855309,1229922,36563948,5037830,2263004,8209050,12806591,7806970, -   ,6503070,156202016,52820634,103381382,71785169,9129809,16030157,1461926,4974321,16348779,156202016,128221439,52820634,75400805,39764174,44763366,4896242,7088181,4380808,958637,3135187,547896,583040,5875815,3789714,12438379,11950420, -   ,16030157,114240227,324348229
NORTH CAROLINA,2008,50387762,42064048,12588553,22809716,5269929,3664857,1435665,10993927,1206412,238926,3846243,2819536,34, -   ,8323680,45932844,13152908,32779936,24045876,2934290,4762718,360692,676360,8084597,45932844,41045619,13152908,27892711,17438492,10591140,1460906,1653975,3253678,567801,1324484,679216,278930,1177769,676360,1942868,124507, -   ,4762718,19605315,100176883
NORTH DAKOTA,2008,4921091,4655088,1233474,2312056,530078,343328,165810,317249,161925,793666,703467,406091, -   , -   ,266003,4125958,805351,3320607,2281405,407419,336072,131286,164425,816227,4125958,3789886,805351,2984535,1325310,773278,16426,64749,458616,27949,61368,166129,25730,122952,164425,582954, -   , -   ,336072,1951959,11839776
OHIO,2008,65923692,54745431,17093617,26074544,7865674,4879721,2656231,9847506,754633,70779,7036186,4541084, -   ,712796,10465465,68071276,18080744,49990532,29898844,3569549,12762692,2318754,1440693,7883170,68071276,54863653,18080744,36782909,20120031,16113757,2089571,2470691,3215512,264055,1668729,362226,107442,2108862,1440693,4902084, -   ,444931,12762692,27306103,202396973
OKLAHOMA,2008,18656746,17826212,5705546,8330786,2096220,937582,891423,2787445,360065,1258051,2108480,1681400,458156, -   ,372378,19517639,4391706,15125933,10744503,1651430,1890135,322559,517306,2976703,19517639,17208905,4391706,12817199,7046621,4821034,227554,780680,1472367,161213,616933,215089,99929,539815,461086,766584,418599, -   ,1890135,9129789,37066174
OREGON,2008,17346580,16856418,4835171,7487873, -   ,969734,917300,4968791,477113,154935,2277793,2255581,171,402102,87889,22387184,5640993,16746191,10557630,1323805,4094059,317207,453490,3901453,22387184,18076377,5640993,12435384,6768386,4311257,1154493,407430,1528591,173661,720504,424465,103461,888704,453490,1141935,13996,202752,4094059,11597440,71905837
PENNSYLVANIA,2008,71142087,60800175,16170286,32123740,8873309,6432704,2822738,10408439,2191420,1395130,7065194,5440955, -   ,1413265,8928647,73354637,17826902,55527735,35968591,5840481,9819464,1950815,1948384,7802801,73354637,62231302,17826902,44404400,19475573,19822978,2821303,2030708,6570331,839741,1744264,681763,288133,2503561,1948384,3504563,14,1303857,9819464,40100004,152815652
RHODE ISLAND,2008,6691508,6387606,2017956,2761356,846870,534245,95792,1091705,145866,46878,688166,920128,32643, -   ,271259,7495870,1067849,6428021,4301670,445746,1127934,132802,419869,1093981,7495870,6228442,1067849,5160593,1702825,2230969,87528,180822,201869,57953,199394,41480,7664,362174,419869,735895,139494, -   ,1127934,8926977,15635551
SOUTH CAROLINA,2008,22836798,20236860,6280223,8435550,3051608,1227555,433877,3327800,312600,82110,3909828,1611259,1453006, -   ,1146932,27590685,5719235,21871450,14967195,2343611,2773263,1002720,784661,3639952,27590685,22985286,5719235,17266051,8151202,5474835,1684779,1051239,1064541,208518,514479,299956,120343,1094646,590974,2729774,1832136, -   ,2773263,15212910,40977111
SOUTH DAKOTA,2008,2910381,3426159,1256446,1321368,732438,339814,172165, -   ,69879,7072,307015,541330, -   , -   ,-515778,3698335,679868,3018467,2109612,408481,298190,66176,136008,843292,3698335,3400145,679868,2720277,1103636,811709,60769,126093,429629,31514,110268,123365,42124,169363,136008,255667, -   , -   ,298190,3408138,12286042
TENNESSEE,2008,25626489,25105575,8308154,11538430,6832948,1779434,1287826,290986,1005880,341356,1971476,3287515, -   , -   ,520914,26370615,6516598,19854017,15036505,1587503,1838218,1177378,214413,3695776,26370615,24532397,6516598,18015799,8479938,8664226,407688,1282165,1668715,156050,768711,458161,148163,788765,214413,1495402, -   , -   ,1838218,4366410,38486619
TEXAS,2008,94310376,99010018,33611389,45536833,21630136,12737169,7039520, -   , -   ,4130008,10247358,9614438, -   , -   ,-4699642,101920390,26089474,75830916,52982858,8751072,11016430,1890823,1189733,14102858,101920390,90763797,26089474,64674323,40604723,23048973,3637784,2248068,7915817,720014,3565217,839527,130316,1751072,1189733,5112553,140163, -   ,11016430,33587699,262500473
UTAH,2008,15419153,13194250,3474592,6109256,1964119,679915,371300,2593129,394638,106155,2411035,1199367,301,217901,2006701,14293669,3050173,11243496,8113264,1286208,1168581,399606,275837,2449264,14293669,12966773,3050173,9916600,6036050,2203414,823297,383324,1061364,129182,332828,185613,65910,712868,275837,757086,1390,156925,1168581,5907105,30170610
VERMONT,2008,5148618,4857001,1420594,2544197,338941,516320,124736,623019,84783,856398,510153,382057, -   ,42753,248864,5069432,1340755,3728677,2925409,202115,289118,130981,181054,733895,5069432,4707185,1340755,3366430,2062824,1253623,20092,167140,324868,77177,120328,73300,14370,156325,181054,256084,29674,43455,289118,3371915,7082025
VIRGINIA,2008,36153130,36062290,7395278,18322873,3571486,2436546,653076,10114833,787229,759703,6367446,3976693, -   ,533023,-442183,39989854,11260089,28729765,20945285,2730781,2834682,1253817,965200,6215539,39989854,36709190,11260089,25449101,14053415,7354674,2849911,958002,3146902,689989,1547571,214336,148721,1234502,965200,3545967,1430,444552,2834682,21293517,86876125
WASHINGTON,2008,36659905,32272827,8303676,17959833,11344622,3056046,953113, -   , -   ,2606052,3689622,2319696,1281,545249,3840548,39689815,9143766,30546049,19936695,3128379,5077423,1364393,1039159,6254115,39689815,34091969,9143766,24948203,14109473,7612755,1743784,1605753,2924464,319335,1205895,738520,139378,785458,1039159,1867995,39973,480450,5077423,23524009,95856465
WEST VIRGINIA,2008,10736112,10766289,3274439,4881908,1109822,1157069,193468,1518746,538839,363964,1279211,1330731,362,74508,-105047,10561575,2131100,8430475,6265863,893891,851629,163971,255121,1441006,10561575,9634090,2131100,7502990,3676900,2565426,106482,309702,1015587,65468,241996,170496,67572,412403,255121,746937,12836,63020,851629,6365585,16357378
WISCONSIN,2008,25469939,27802380,7013591,14915012,4268068,2048994,909664,6466878,863088,358320,3531297,2342480, -   , -   ,-2332441,32649254,9881119,22768135,14592918,1965324,4622219,526773,1060901,4203579,32649254,28019994,9881119,18138875,10329906,6524417,1106220,703266,1901463,132283,1084127,646438,35926,673364,1060901,3821683,7041, -   ,4622219,22107148,95053879
WYOMING,2008,6718235,5624350,2164652,2404843,981198,134663,120773, -   , -   ,1168209,174489,880366, -   ,80120,1013765,5081586,1769009,3312577,2227936,515364,447517,59787,61973,633251,5081586,4564285,1769009,2795276,1537792,656176,2384,281247,521164,15862,164617,310037,34369,200990,61973,777674, -   ,69784,447517,1342710,20125419
