States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue ,Total expenditure, Intergovernmental expenditure, Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure, Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
MISSOURI,2009,17969081,24441178,9619643,10274618,3030477,1568443,571673,4771576,278661,53788,2564778,1982139, -   , -   ,-6472097,28613023,5936688,22676335,15642798,1843989,3794187,546686,848675,3820020,28613023,24818836,5936688,18882148,8802642,6929810,1351676,1300238,2230978,211349,765995,383460,44142,544104,848675,1405767, -   , -   ,3794187,19241356,58359700
MONTANA,2009,4828033,5711793,2097188,2407400, -   ,529392,297986,827196,164255,588571,503559,703646, -   ,67255,-951015,6268607,1276112,4992495,3241813,707903,775308,99478,167993,912618,6268607,5419903,1276112,4143791,1786990,1235984,47418,139165,640962,45213,180160,229264,18904,412461,167993,515389,12076,61320,775308,4469708,14496445
NEBRASKA,2009,7248209,8403141,2770131,4000939,1504174,511109,167014,1602091,198442,18109,971723,660348, -   , -   ,-1154932,9110284,2064173,7046111,5298318,926936,561790,151017,108050,2177828,9110284,8548494,2064173,6484321,3130952,2171990,248014,407012,706424,89722,228871,205476,31178,211647,108050,1009158, -   , -   ,561790,2516775,12195295
NEVADA,2009,7531884,9430817,2510358,5611626,2684029,1671660,530332, -   , -   ,725605,726127,582706,85957, -   ,-1984890,12056208,3864223,8191985,4776583,907637,2098741,197014,212010,1716603,12056208,9869734,3864223,6005511,4100694,1865609,256894,238918,792451,110772,398522,133926,35036,371823,208602,1356487,87733, -   ,2098741,4444804,22531778
NEW HAMPSHIRE,2009,5639852,5721403,1952361,2125722, -   ,829654,227589,98191,493431,476857,823231,820089,119,491420,-573090,6956174,1278589,5677585,4011931,446981,684422,142678,391573,921285,6956174,5846814,1278589,4568225,1998981,1778194,55452,102740,477085,56063,107683,65723,27822,228073,391573,557425,4913,420025,684422,8411660,11057373
NEW JERSEY,2009,42944305,49174866,12424668,27186553,8188990,3537026,1401857,10663866,2397471,997343,5512226,4051419,868023, -   ,-7098584,62037950,11135809,50902141,32028780,4525536,11023189,1185041,2139595,10097140,62037950,48208101,11135809,37072292,16423092,13170854,2131413,1327419,2662684,469289,1473703,646124,436943,1909368,2135032,5422180,2806660, -   ,11023189,56897866,100765945
NEW MEXICO,2009,9869384,13477792,5072725,4817277,1881651,602961,214745,958500,162500,996920,1326495,2261295, -   , -   ,-3608408,17377696,4766207,12611489,9190520,1281777,1580716,233969,324507,2406539,17377696,15796980,4766207,11030773,5482358,3860365,832952,508665,1057458,144802,379599,232723,75545,619924,324507,2278082, -   , -   ,1580716,8001721,36770491
NEW YORK,2009,92112356,134950509,49089065,64756423,11073898,9164520,1255337,36840019,4427675,1994974,8361802,12743219,8303996, -   ,-51142149,165100850,55107082,109993768,74106427,10361149,18574161,1446900,5505131,17398991,165100850,133940570,55107082,78833488,42273865,45235958,5898259,8584306,4533585,967673,3083344,546375,632845,5612270,4230516,12341574,12586119, -   ,18574161,122651630,268269903
NORTH CAROLINA,2009,30150407,41993287,14657693,20525663,4963434,3471751,1474278,9560353,901445,154402,4049902,2760029,5, -   ,-11842885,48586378,13562079,35024299,24950944,2816076,6245400,374478,637401,7968755,48586378,42305938,13562079,28743859,18029629,11213283,1501079,1653556,2885414,484271,1353509,778046,301978,1434647,637401,2033125,35040, -   ,6245400,19910714,80395069
NORTH DAKOTA,2009,4372683,4913633,1349857,2414494,607171,337397,140820,370165,129542,829399,732742,416540, -   , -   ,-540950,4486613,933974,3552639,2433709,423839,417293,131341,146457,931072,4486613,4069320,933974,3135346,1371414,820797,15432,69146,544043,30173,66027,176663,23087,137598,146457,668483, -   , -   ,417293,1888148,11716652
